Ref,Val,Package,PosX,PosY,Rot,Side
"SW58","CPG151101S11","MXOnly-1U-Hotswap",246.486565,-140.826030,-165.000000,bottom
"SW59","CPG151101S11","MXOnly-1U-Hotswap",251.417073,-159.226927,-165.000000,bottom
"SW60","CPG151101S11","MXOnly-1U-Hotswap",244.589605,-193.777898,-135.000000,bottom
"SW61","CPG151101S11","MXOnly-1U-Hotswap",175.456549,-187.691403,150.000000,bottom
"SW62","CPG151101S11","MXOnly-1U-Hotswap",197.992938,-193.729994,180.000000,bottom
"SW63","CPG151101S11","MXOnly-1U-Hotswap",220.529327,-187.691397,-150.000000,bottom
"SW64","CPG151101S11","MXOnly-2U-Hotswap",197.992965,-212.779986,180.000000,bottom
"SW67","PTS645","SW_SPST_PTS645",162.100001,-74.961608,180.000000,bottom
"SW68","PTS645","SW_SPST_PTS645",233.900000,-74.961602,180.000000,bottom
"U1","ZD25WQ32CEIGR","USON-8-1EP_3x2mm_P0.5mm_EP1.6x0.2mm",204.493314,-79.869993,-135.000000,bottom
"U2","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias",204.564035,-87.577450,-135.000000,bottom
"U3","SN74AHCT1G125","SOT-353_SC-70-5",185.999998,-90.061608,90.000000,bottom
"U4","REF3033","SOT-23-3",193.800002,-88.561605,-135.000000,bottom
"U5","TUSB321","Texas_X2QFN-12_1.6x1.6mm_P0.4mm",210.300003,-77.061606,-90.000000,bottom
"U6","74HC595","SOIC-16_3.9x9.9mm_P1.27mm",165.000004,-87.961608,0.000000,bottom
"U7","74HC595","SOIC-16_3.9x9.9mm_P1.27mm",231.000001,-87.961603,180.000000,bottom
"U8","INA180A4","SOT-23-5",187.800003,-73.661606,180.000000,bottom
"U9","TPS259533","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",184.799996,-78.961610,-90.000000,bottom
"U10","XC6206P332MR","SOT-23-3",188.700003,-97.061604,180.000000,bottom
"U12","TPD4E05U06","USON-10_2.5x1.0mm_P0.5mm",197.999999,-74.361606,90.000000,bottom
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",214.039281,-90.123020,-45.000000,bottom
"J4","OLED Breakout","OLED_1.5_SSD1351_128x128",198.000000,-89.961602,0.000000,top
"SW65","Bootsel","SW_SPST_D2F_PTS645_SMT+THT",165.992941,-212.779965,0.000000,top
"SW66","EC10E","EC10E",228.892935,-212.729987,-90.000000,top
